event_date,pattern_type,start_date,end_date,upper_slope,upper_intercept,lower_slope,lower_intercept
2010-03-17,ascending_triangle,2010-01-04,2010-03-17,0.003607177422919159,84.06401645567188,0.011726640923362109,82.83527089421075
2010-07-13,descending_triangle,2010-04-30,2010-07-13,-0.17017937116101423,88.0754764344195,-0.1459273096180507,85.67809631093515
2010-08-02,ascending_triangle,2010-05-20,2010-08-02,0.008472526933616763,82.40895851641775,0.022307969783815954,80.52731872659977
2011-07-21,descending_triangle,2011-05-10,2011-07-21,-0.021265215853503543,102.25541683886354,-0.021475395354649655,101.11451486696312
2011-10-12,descending_triangle,2011-08-02,2011-10-12,-0.06686692749674258,93.88236856210719,-0.037473587504831485,90.59987268511595
2012-01-03,ascending_triangle,2011-10-20,2012-01-03,0.002210031806733473,97.03196257411648,0.011748055386892057,95.25296650439707
2012-06-19,descending_triangle,2012-04-09,2012-06-19,-0.13810695083508243,110.00593523578671,-0.14872567768778933,108.92883245008764
2012-07-10,descending_triangle,2012-04-27,2012-07-10,-0.04228431747858925,107.03187953009494,-0.03978220412596441,105.61324059425614
2012-12-11,descending_triangle,2012-09-27,2012-12-11,-0.09114748945396209,115.3242944693059,-0.09227009870804824,114.19994287949392
2013-09-16,descending_triangle,2013-07-05,2013-09-16,-0.0120328294075418,135.71209324812546,-0.01585282383351946,134.78734234821366
2015-07-16,descending_triangle,2015-05-05,2015-07-16,-0.0366718129151198,177.24217022484257,-0.0453599419027168,175.98582643628913
2015-10-16,descending_triangle,2015-08-06,2015-10-16,-0.17062699979205737,172.36469606038963,-0.14926083667023168,169.2024499512639
2015-12-30,desc_triangle_upper_test,2015-10-19,2015-12-30,-0.012138142695449345,175.51350850125357,-0.026028786189412824,174.0287074248327
2016-02-17,descending_triangle,2015-12-03,2016-02-17,-0.4101500489713081,177.4631180538356,-0.4214784453637881,175.062064908375
2016-10-10,desc_triangle_upper_test,2016-07-29,2016-10-10,-0.025773510972067225,187.09704053150045,-0.038163097220906606,186.0571422119821
2016-11-17,descending_triangle,2016-09-08,2016-11-17,-0.015398807195642118,185.56265170741474,-0.013797580795585287,183.89650519498608
2018-04-12,desc_triangle_upper_test,2018-01-30,2018-04-12,-0.18062372715753344,244.7886124497395,-0.15775735244120423,240.00615817791137
2018-04-30,desc_triangle_upper_test,2018-02-15,2018-04-30,-0.17638689824571532,243.74364199595595,-0.166769263092856,240.04608930354655
2018-12-19,descending_triangle,2018-10-08,2018-12-19,-0.2779139802429047,251.82753526138222,-0.27436237022883364,247.4487821070665
2019-01-07,descending_triangle,2018-10-23,2019-01-07,-0.47601422880402927,250.74190629959344,-0.5057378908421681,246.65729047633243
2019-01-30,descending_triangle,2018-11-14,2019-01-30,-0.23041640695519836,241.5087484913289,-0.19644369304270043,236.44926991121966
2019-06-03,descending_triangle,2019-03-21,2019-06-03,-0.01255530533557554,260.17910170767817,-0.02970126965287868,258.2825864668791
2020-05-04,descending_triangle,2020-02-21,2020-05-04,-0.43054938399101483,268.7264748053915,-0.2657002973749829,254.9608962373747
2021-10-26,descending_triangle,2021-08-16,2021-10-26,-0.05901764853362412,420.8955061562253,-0.07538000473725555,417.39414019610564
2022-02-11,descending_triangle,2021-12-01,2022-02-11,-0.3731728455169219,446.9427897209423,-0.4276379637862371,441.24178933753217
2022-03-28,descending_triangle,2022-01-13,2022-03-28,-0.37884787375228823,429.8500044843693,-0.3136396732292999,419.9541722137176
2022-05-20,descending_triangle,2022-03-10,2022-05-20,-0.8566781006121358,432.6005519529695,-0.9465589667937551,427.07700206537663
2022-06-28,desc_triangle_upper_test,2022-04-14,2022-06-28,-1.0791533646524543,414.9188113230044,-1.0157613732502586,404.99243892755396
2022-07-14,descending_triangle,2022-05-02,2022-07-14,-0.6670730462468557,394.5804913563937,-0.576060070931673,384.46846997952315
2022-07-29,descending_triangle,2022-05-17,2022-07-29,-0.277620122613736,381.94021456996825,-0.2237483678760804,373.52045267948154
2022-11-10,descending_triangle,2022-08-31,2022-11-10,-0.3443926865247141,373.86734242487654,-0.3660538047961978,366.8518468692848
2023-01-12,descending_triangle,2022-10-31,2023-01-12,-0.02659972279221622,377.3170686815143,-0.012116612459436809,371.08603589414923
2023-03-30,descending_triangle,2023-01-18,2023-03-30,-0.20626871374055006,392.8461574223273,-0.20525141248146783,387.2488583666528
2023-09-14,descending_triangle,2023-07-05,2023-09-14,-0.06464036018227122,436.576285380014,-0.08145488968401636,433.246852613846
2023-11-01,desc_triangle_upper_test,2023-08-22,2023-11-01,-0.5410271393935698,437.2633925749835,-0.5770148891597473,433.5340916933974
2023-11-20,descending_triangle,2023-09-11,2023-11-20,-0.05900182172384756,424.1418170664592,-0.051965669065795805,419.4969784578553
2024-05-10,descending_triangle,2024-02-29,2024-05-10,-0.09471367197490804,505.9647132502327,-0.1202019860461095,501.8589187544828
2025-05-12,descending_triangle,2025-02-28,2025-05-12,-0.5772753357702411,567.9710842843257,-0.5453429498873169,554.9612773634576
2010-04-07,channel_up,2010-01-25,2010-04-07,0.18345473310619018,80.47632698397435,0.19603431832105103,79.17984853143672
2010-12-31,channel_up,2010-10-20,2010-12-31,0.1236702210220804,89.92295668391556,0.13589084117795375,88.80172289220087
2012-01-30,channel_up,2011-11-15,2012-01-30,0.1812365262846945,94.07208958123654,0.19969385049815533,92.33304738739878
2012-02-14,channel_up,2011-12-01,2012-02-14,0.1966748674596001,95.87232154844476,0.21342884245919538,94.37727705723694
2012-03-01,channel_up,2011-12-16,2012-03-01,0.22810509639764176,97.14200295495881,0.23711417020122558,95.95512637682644
2012-08-13,channel_up,2012-06-01,2012-08-13,0.14437130747280935,103.43671249178128,0.15601743683866742,101.87138052289254
2012-08-28,channel_up,2012-06-18,2012-08-28,0.14492220963725305,105.16380190859768,0.15701357517792158,103.75872625535038
2012-09-20,channel_up,2012-07-11,2012-09-20,0.17784080723901738,106.62827392848303,0.1886841363276021,105.37363290645433
2013-01-30,channel_up,2012-11-15,2013-01-30,0.19785429835448232,109.99443682598162,0.20720124045173488,108.7860574381945
2013-02-14,channel_up,2012-12-03,2013-02-14,0.20066616869850024,112.09341260825227,0.20811317234745721,111.01025853943993
2013-11-27,channel_up,2013-09-18,2013-11-27,0.2143357275742114,136.05876845978156,0.2204344953053289,134.7763447608487
2014-01-10,channel_up,2013-10-29,2014-01-10,0.137650969523348,143.1144307573506,0.14428740928789888,141.95874950356125
2014-06-13,channel_up,2014-04-02,2014-06-13,0.1449136917559741,151.47683772806639,0.16629458078702963,149.75189764943872
2014-06-30,channel_up,2014-04-17,2014-06-30,0.18541395156590026,152.2392871001645,0.19177099520602967,151.07151564605903
2016-03-31,channel_up,2016-01-19,2016-03-31,0.3454046112695605,157.87327296753185,0.38752496608676507,154.64025338821605
2016-04-18,channel_up,2016-02-04,2016-04-18,0.39884705304768364,160.00292737250768,0.42390837539250975,157.53591981486798
2017-06-09,channel_up,2017-03-29,2017-06-09,0.15578692857265566,203.9074125957234,0.1656164012936307,202.50562636341888
2017-08-02,channel_up,2017-05-22,2017-08-02,0.12259547222163183,210.0133932299086,0.12260142497779473,208.95515666449
2017-10-23,channel_up,2017-08-11,2017-10-23,0.2492610094329241,212.85301664809992,0.26349490684060217,211.50646215238197
2018-06-19,channel_up,2018-04-09,2018-06-19,0.24413019118651813,234.60745839151926,0.27742516975812703,231.67983208630315
2018-08-23,channel_up,2018-06-13,2018-08-23,0.23885325716710598,243.50602825930866,0.2518232441016393,241.46191226015625
2019-04-11,channel_up,2019-01-30,2019-04-11,0.3356153727706416,243.83004238205905,0.3428950815005427,241.65771435203243
2019-05-01,channel_up,2019-02-19,2019-05-01,0.33653541938394455,248.5705916525551,0.34629571717791774,246.46011154913577
2019-07-23,channel_up,2019-05-10,2019-07-23,0.3999381737536166,253.72970628887074,0.43529701212632843,250.68172303795362
2020-12-28,channel_up,2020-10-15,2020-12-28,0.6884359277246996,316.1362963331221,0.7359144719287692,310.76619794031285
2021-05-07,channel_up,2021-02-25,2021-05-07,0.7709059600780623,358.67498993433526,0.8622147519573259,352.3411983998109
2021-07-15,channel_up,2021-05-04,2021-07-15,0.41295079375718,387.0772726407642,0.4528289373048346,382.98653835158956
2021-08-12,channel_up,2021-06-02,2021-08-12,0.5027570761236917,393.4163213818142,0.500123871427869,390.65714855183217
2021-09-08,channel_up,2021-06-28,2021-09-08,0.44267121679259325,403.7858398491228,0.4606660232779184,400.4733688115886
2021-11-22,channel_up,2021-09-13,2021-11-22,0.6914426756814337,408.80978736355365,0.7548733161457946,403.41633315766313
2022-12-05,channel_up,2022-09-23,2022-12-05,0.8119159280177928,347.34917657373285,0.9001120926750262,338.0219778897929
2023-05-22,channel_up,2023-03-10,2023-05-22,0.4842164077748275,381.89109573436366,0.5473113090918399,375.9201902787473
2023-07-11,channel_up,2023-04-27,2023-07-11,0.7553291523867942,393.47107344144615,0.7819696651477003,389.13999226230703
2023-07-26,channel_up,2023-05-12,2023-07-26,0.8897717129762324,398.79825255935526,0.9184619421468105,394.66275762811784
2023-12-28,channel_up,2023-10-17,2023-12-28,1.1911632182779563,407.8543330415253,1.228752619557096,403.07718213564203
2024-06-21,channel_up,2024-04-10,2024-06-21,0.823620680346713,492.35175201828133,0.8746916378918399,486.43895047789175
2024-07-09,channel_up,2024-04-25,2024-07-09,0.9418709797958965,498.43851249325064,0.959193302798208,493.9518259615794
2024-10-15,channel_up,2024-08-05,2024-10-15,0.8836830136031787,529.5405974583592,0.9650455687397337,521.4989342717973
2024-12-11,channel_up,2024-10-01,2024-12-11,0.7070094336425051,562.8778039681854,0.7387727059294382,557.656709803237
2025-06-26,channel_up,2025-04-14,2025-06-26,1.5468137562061746,536.7124021380833,1.664235285065023,526.8326129295352
2025-07-14,channel_up,2025-04-30,2025-07-14,1.227315964594349,562.3022030333527,1.3063374938747716,554.6870565690705
2025-07-29,channel_up,2025-05-15,2025-07-29,1.0911846185572578,579.1544057771334,1.1712758796882166,572.1774015761409
2025-09-25,channel_up,2025-07-16,2025-09-25,0.7454449750533296,623.0796608873402,0.7479545479863581,618.4184737062571
